,rank,major,degree,early career pay,mid career pay,percent high meaning
452,451,Workforce Education & Development,Bachelors,67100,91200,73
453,454,Diagnostic Medical Ultrasound,Bachelors,73800,91100,71
454,454,Health Policy & Administration,Bachelors,57300,91100,63
455,456,Quality Management,Bachelors,66000,90800,62
456,457,Bachelor of Science in Nursing,Bachelors,72000,90700,85
457,457,Speech Communication,Bachelors,53300,90700,56
458,459,Retailing,Bachelors,56700,90500,33
459,459,Visual Effects & Motion Graphics,Bachelors,54100,90500,38
460,461,Foreign Languages,Bachelors,55600,90300,54
461,462,Landscape Architecture,Bachelors,58700,90200,65
462,463,Global Studies,Bachelors,58100,90100,47
463,464,American Sign Language Interpreting,Bachelors,49400,89900,87
464,464,Spanish Language Teacher Education,Bachelors,55100,89900,0
465,466,Technical & Scientific Communication,Bachelors,57000,89800,35
466,467,Broadcast & Cinematic Arts,Bachelors,48000,89700,41
467,468,Computer Animation,Bachelors,52800,89600,41
468,468,Geography,Bachelors,56200,89600,52
469,470,Environmental Resource Management,Bachelors,54100,89500,64
470,470,Fashion,Bachelors,54900,89500,39
471,470,Film Studies,Bachelors,51000,89500,41
472,470,Forestry,Bachelors,52800,89500,68
473,474,Business Leadership,Bachelors,56800,89300,43
474,474,Nursing Education,Bachelors,76300,89300,0
475,476,English Language,Bachelors,50900,89100,47
476,477,Ancient History,Bachelors,51700,89000,0
477,477,Botany,Bachelors,48700,89000,71
478,477,Geosciences,Bachelors,55100,89000,62
479,480,Computer Aided Design (CAD),Bachelors,54700,88900,0
480,480,Digital Arts,Bachelors,50800,88900,36
481,482,Leadership,Bachelors,53700,88700,55
482,483,Automotive Technology & Service Management,Bachelors,59300,88600,29
483,483,Business Management & Administration,Bachelors,58500,88600,53
484,483,Business Management & Human Resources Management (HRM),Bachelors,54600,88600,0
485,483,Human Resources Management (HRM),Bachelors,54300,88600,55
486,483,Radio/Television & Film Production,Bachelors,51200,88600,40
487,488,Allied Health,Bachelors,49900,88500,77
488,488,English Language & Literature,Bachelors,52200,88500,44
489,490,Marine Biology,Bachelors,48500,88400,64
490,490,Security Management,Bachelors,53900,88400,0
491,492,Organizational Leadership,Bachelors,56600,88300,57
492,492,Public Administration,Bachelors,53000,88300,57
493,494,Forestry Management,Bachelors,54600,88200,67
494,494,Management (MGT),Bachelors,52300,88200,0
495,496,Merchandising Management,Bachelors,53500,88100,48
496,497,Administrative Management,Bachelors,59100,88000,47
497,497,Spanish Language,Bachelors,54300,88000,49
498,497,Sports Management,Bachelors,51200,88000,43
499,500,Arts Management,Bachelors,45200,87900,48
500,500,Homeland Security,Bachelors,55300,87900,71
501,500,Electronic Media,Bachelors,50700,87900,37
502,503,3D Animation,Bachelors,56900,87800,42
503,503,Film Production,Bachelors,50500,87800,37
504,505,Marine Science,Bachelors,51800,87600,61
505,506,Information & Communication Technology,Bachelors,53700,87500,54
506,506,Mass Communication,Bachelors,50700,87500,45
507,506,Museum Studies,Bachelors,42800,87500,37
508,506,Technical Writing,Bachelors,63300,87500,37
509,510,Religious Studies,Bachelors,50700,87400,52
510,510,Travel Industry Management,Bachelors,58700,87400,0
511,512,Art History,Bachelors,53400,87200,44
512,512,Fashion Merchandising,Bachelors,53300,87200,30
513,512,Nuclear Medicine Technology,Bachelors,68800,87200,81
514,515,Marketing & Advertising,Bachelors,55400,87100,45
515,516,Musicology,Bachelors,48100,87000,0
516,517,Broadcast Journalism,Bachelors,49800,86800,52
517,518,Animation,Bachelors,50900,86700,35
518,519,Historic Preservation,Bachelors,48300,86600,0
519,519,Music Performance,Bachelors,51700,86600,56
520,519,Organizational Leadership & Supervision,Bachelors,54600,86600,53
521,522,Multimedia,Bachelors,50400,86500,45
